Solucao Inicial: S1= 0,1 S2= 0,1
Iteracoes;S1 Ackley; S2 Ackley
1;0,0903512134096;0,0908006325705
2;0,0829536021704;0,0817328126637
3;0,0753602738409;0,0737822948821
4;0,0680557205892;0,0672684829011
5;0,0613373108974;0,0611534444169
6;0,0553669246408;0,0551858428186
7;0,0510729326313;0,0497588843458
8;0,0460386685663;0,0448591481498
9;0,0417100212428;0,0405291513397
10;0,037683693065;0,036549681096
11;0,0339923149638;0,0329869369824
12;0,0306654260721;0,0297567771738
13;0,0279430241397;0,0268161805014
14;0,0252338225932;0,024228783643
15;0,0227363118168;0,021975130811
16;0,0206634171534;0,0197954349337
17;0,0186482939587;0,0179473886312
18;0,0168277422829;0,0164799507114
19;0,0151522775234;0,0148843027204
20;0,0136417795483;0,0135007651213
21;0,0123596888396;0,0121680100791
22;0,0111274105567;0,0110130513682
23;0,0100515768444;0,0099304918299
24;0,00910085899469;0,00895180894102
25;0,00825192725388;0,00810902955536
26;0,00743614567351;0,00733706373767
27;0,00672999926206;0,00661765413302
28;0,00606415929812;0,00604225311596
29;0,00549432247158;0,00543936193431
30;0,00495526168381;0,00489572866642

0,0305668707328;0,0300165493258
